Gender,Age,Driver_Licence,H_size,Veh_count,Income,Mode,Minutes,Go_time,Convenience,Cost,Safety,Environment,Health,Weather,Parking,Car_freq,Pt_freq,Walk_freq,Distance
Γυναίκα,41 - 50,Yes,5,2,2000 και άνω,Λεωφορείο,34,06.00 - 09.00,Totally disagree,Neutral,Totally disagree,Disagree,Totally disagree,Neutral,Totally disagree,Σπάνια (1 μέρα  την εβδομάδα),Καθημερινά,Καθημερινά,6
Γυναίκα,31 -40,Yes,3,1,500 - 1000,Αμάξι,20,06.00 - 09.00,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Καθημερινά,Καθόλου,Λίγες φορές (2-3 μέρες την εβδομάδα),5.2
Γυναίκα,20 και κάτω,No,5,2,0 - 500,Πόδια,3,06.00 - 09.00,Totally agree,Totally agree,Totally agree,Neutral,Neutral,Totally agree,Neutral,Αρκετές φορές (4-5 μέρες την εβδομάδα),Σπάνια (1 μέρα  την εβδομάδα),Καθημερινά,0.4
Γυναίκα,51 - 60,Yes,5,2,1500 - 2000,Αμάξι,4,12.00 - 15.00,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Καθημερινά,Καθόλου,Σπάνια (1 μέρα  την εβδομάδα),2.8
Γυναίκα,51 - 60,Yes,7,3,1500 - 2000,Πόδια,8,06.00 - 09.00,Agree,Totally agree,Totally agree,Totally agree,Agree,Agree,Totally agree,Αρκετές φορές (4-5 μέρες την εβδομάδα),Σπάνια (1 μέρα  την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),0.85
Γυναίκα,20 και κάτω,No,5,2,0 - 500,Λεωφορείο,28,06.00 - 09.00,Totally disagree,Totally agree,Neutral,Totally disagree,Agree,Neutral,Disagree,Σπάνια (1 μέρα  την εβδομάδα),Καθημερινά,Λίγες φορές (2-3 μέρες την εβδομάδα),4.7
Άνδρας,51 - 60,Yes,4,2,500 - 1000,Λεωφορείο,43,06.00 - 09.00,Agree,Agree,Agree,Agree,Totally agree,Totally agree,Agree,Λίγες φορές (2-3 μέρες την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),Καθημερινά,8.2
Γυναίκα,20 και κάτω,No,4,1,1000 - 1500,Λεωφορείο,75,12.00 - 15.00,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Λίγες φορές (2-3 μέρες την εβδομάδα),Καθημερινά,Αρκετές φορές (4-5 μέρες την εβδομάδα),34.5
Άνδρας,51 - 60,Yes,6,1,1500 - 2000,Πόδια,8,06.00 - 09.00,Neutral,Neutral,Neutral,Totally agree,Totally agree,Neutral,Neutral,Σπάνια (1 μέρα  την εβδομάδα),Καθόλου,Καθημερινά,0.75
Άνδρας,41 - 50,Yes,4,2,1000 - 1500,Αμάξι,25,06.00 - 09.00,Totally agree,Totally agree,Totally agree,Neutral,Neutral,Agree,Totally agree,Καθημερινά,Καθόλου,Καθόλου,11.1
Γυναίκα,51 - 60,Yes,5,1,500 - 1000,Πόδια,7,06.00 - 09.00,Agree,Totally agree,Agree,Agree,Totally agree,Totally agree,Totally agree,Σπάνια (1 μέρα  την εβδομάδα),Καθόλου,Σπάνια (1 μέρα  την εβδομάδα),0.7
Γυναίκα,41 - 50,Yes,4,2,1000 - 1500,Αμάξι,23,06.00 - 09.00,Disagree,Totally disagree,Disagree,Disagree,Disagree,Totally disagree,Totally disagree,Καθημερινά,Καθόλου,Σπάνια (1 μέρα  την εβδομάδα),5.5
Γυναίκα,41 - 50,Yes,4,1,1000 - 1500,Αμάξι,10,09.00 - 12.00,Agree,Totally agree,Totally agree,Agree,Neutral,Agree,Agree,Καθημερινά,Αρκετές φορές (4-5 μέρες την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),3.7
Γυναίκα,31 -40,Yes,5,2,0 - 500,Αμάξι,16,06.00 - 09.00,Agree,Disagree,Disagree,Disagree,Disagree,Totally agree,Totally agree,Καθημερινά,Σπάνια (1 μέρα  την εβδομάδα),Σπάνια (1 μέρα  την εβδομάδα),13.4
Άνδρας,21 - 30,Yes,4,2,500 - 1000,Αμάξι,7,06.00 - 09.00,Totally agree,Totally agree,Totally agree,Disagree,Neutral,Totally agree,Totally agree,Καθημερινά,Σπάνια (1 μέρα  την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),1.8
Γυναίκα,20 και κάτω,No,8,2,1500 - 2000,Αμάξι,26,18.00 - 21.00,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Καθημερινά,Καθημερινά,Σπάνια (1 μέρα  την εβδομάδα),30.3
Άνδρας,41 - 50,Yes,4,2,1000 - 1500,Αμάξι,20,06.00 - 09.00,Totally agree,Neutral,Totally agree,Totally disagree,Totally disagree,Totally agree,Totally agree,Καθημερινά,Καθόλου,Καθημερινά,8.9
Γυναίκα,51 - 60,Yes,4,1,0 - 500,Αμάξι,13,18.00 - 21.00,Agree,Agree,Agree,Totally agree,Neutral,Neutral,Agree,Καθημερινά,Σπάνια (1 μέρα  την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),5.3
Γυναίκα,21 - 30,Yes,5,2,0 - 500,Πόδια,15,09.00 - 12.00,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Λίγες φορές (2-3 μέρες την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),1.3
Γυναίκα,21 - 30,No,4,2,0 - 500,Λεωφορείο,25,12.00 - 15.00,Agree,Agree,Agree,Agree,Agree,Totally agree,Disagree,Σπάνια (1 μέρα  την εβδομάδα),Καθημερινά,Καθημερινά,4.3
Γυναίκα,21 - 30,No,5,4,0 - 500,Λεωφορείο,23,12.00 - 15.00,Totally agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Σπάνια (1 μέρα  την εβδομάδα),Καθημερινά,Λίγες φορές (2-3 μέρες την εβδομάδα),4.4
Γυναίκα,20 και κάτω,No,4,1,0 - 500,Λεωφορείο,60,15.00 - 18.00,Totally disagree,Agree,Disagree,Neutral,Agree,Totally agree,Totally disagree,Λίγες φορές (2-3 μέρες την εβδομάδα),Καθημερινά,Καθημερινά,8.1
Άνδρας,31 -40,Yes,3,1,500 - 1000,Πόδια,14,09.00 - 12.00,Agree,Agree,Neutral,Disagree,Agree,Totally agree,Neutral,Λίγες φορές (2-3 μέρες την εβδομάδα),Σπάνια (1 μέρα  την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),1.1
Γυναίκα,21 - 30,Yes,4,1,1000 - 1500,Λεωφορείο,26,15.00 - 18.00,Agree,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Σπάνια (1 μέρα  την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),3.4
Γυναίκα,21 - 30,Yes,4,3,500 - 1000,Πόδια,40,06.00 - 09.00,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Σπάνια (1 μέρα  την εβδομάδα),Σπάνια (1 μέρα  την εβδομάδα),Καθημερινά,3.3
Γυναίκα,21 - 30,Yes,2,1,1000 - 1500,Λεωφορείο,14,06.00 - 09.00,Agree,Agree,Neutral,Disagree,Disagree,Agree,Neutral,Σπάνια (1 μέρα  την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),4
Άνδρας,21 - 30,No,5,2,1000 - 1500,Πόδια,15,15.00 - 18.00,Disagree,Totally agree,Totally agree,Totally agree,Agree,Neutral,Totally agree,Καθόλου,Αρκετές φορές (4-5 μέρες την εβδομάδα),Καθημερινά,1.2
Άνδρας,20 και κάτω,No,1,0,500 - 1000,Λεωφορείο,40,18.00 - 21.00,Neutral,Totally agree,Neutral,Neutral,Disagree,Agree,Disagree,Καθόλου,Λίγες φορές (2-3 μέρες την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),7.1
Άνδρας,21 - 30,Yes,5,2,500 - 1000,Πόδια,24,12.00 - 15.00,Neutral,Totally agree,Neutral,Agree,Agree,Agree,Disagree,Λίγες φορές (2-3 μέρες την εβδομάδα),Σπάνια (1 μέρα  την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),2.4
Γυναίκα,20 και κάτω,No,2,1,500 - 1000,Λεωφορείο,25,12.00 - 15.00,Disagree,Totally disagree,Disagree,Agree,Disagree,Disagree,Disagree,Καθόλου,Καθημερινά,Καθημερινά,3.2
Γυναίκα,21 - 30,Yes,4,1,0 - 500,Λεωφορείο,18,12.00 - 15.00,Agree,Agree,Agree,Agree,Agree,Agree,Totally disagree,Καθόλου,Καθημερινά,Καθημερινά,4.3
Άνδρας,41 - 50,Yes,6,1,1000 - 1500,Αμάξι,5,09.00 - 12.00,Agree,Agree,Agree,Agree,Agree,Agree,Totally agree,Καθημερινά,Καθόλου,Σπάνια (1 μέρα  την εβδομάδα),2.2
Γυναίκα,51 - 60,Yes,4,2,1500 - 2000,Αμάξι,27,06.00 - 09.00,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Αρκετές φορές (4-5 μέρες την εβδομάδα),Καθόλου,Λίγες φορές (2-3 μέρες την εβδομάδα),15.8
Γυναίκα,31 -40,Yes,1,1,0 - 500,Αμάξι,15,06.00 - 09.00,Totally agree,Neutral,Totally disagree,Totally disagree,Totally disagree,Neutral,Totally disagree,Καθημερινά,Καθόλου,Καθόλου,4.9
Γυναίκα,31 -40,Yes,3,3,500 - 1000,Αμάξι,23,09.00 - 12.00,Neutral,Agree,Agree,Agree,Neutral,Totally agree,Totally agree,Καθημερινά,Σπάνια (1 μέρα  την εβδομάδα),Σπάνια (1 μέρα  την εβδομάδα),22.8
Γυναίκα,41 - 50,Yes,3,1,0 - 500,Αμάξι,32,18.00 - 21.00,Totally agree,Totally agree,Agree,Disagree,Neutral,Neutral,Neutral,Καθημερινά,Καθόλου,Καθημερινά,21.1
Άνδρας,31 -40,Yes,3,1,1000 - 1500,Λεωφορείο,25,15.00 - 18.00,Neutral,Totally agree,Agree,Disagree,Disagree,Disagree,Disagree,Λίγες φορές (2-3 μέρες την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),2.7
Γυναίκα,21 - 30,No,5,2,500 - 1000,Λεωφορείο,20,06.00 - 09.00,Agree,Agree,Neutral,Totally disagree,Disagree,Neutral,Neutral,Σπάνια (1 μέρα  την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),Καθημερινά,3
Γυναίκα,31 -40,Yes,4,2,500 - 1000,Πόδια,20,12.00 - 15.00,Neutral,Agree,Neutral,Disagree,Agree,Agree,Agree,Λίγες φορές (2-3 μέρες την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),1.7
Γυναίκα,21 - 30,No,4,1,0 - 500,Πόδια,20,06.00 - 09.00,Agree,Agree,Neutral,Disagree,Neutral,Agree,Disagree,Σπάνια (1 μέρα  την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),1.8
Γυναίκα,21 - 30,Yes,3,2,500 - 1000,Λεωφορείο,30,09.00 - 12.00,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Λίγες φορές (2-3 μέρες την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),5.6
Άνδρας,21 - 30,No,2,1,0 - 500,Πόδια,23,09.00 - 12.00,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Σπάνια (1 μέρα  την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),1.8
Γυναίκα,31 -40,Yes,4,1,500 - 1000,Λεωφορείο,35,12.00 - 15.00,Disagree,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Λίγες φορές (2-3 μέρες την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),Καθημερινά,9.3
Γυναίκα,31 -40,No,4,2,1000 - 1500,Λεωφορείο,38,06.00 - 09.00,Agree,Totally agree,Agree,Disagree,Disagree,Disagree,Disagree,Σπάνια (1 μέρα  την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),Καθημερινά,4.8
Άνδρας,21 - 30,Yes,5,2,500 - 1000,Πόδια,25,15.00 - 18.00,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Disagree,Λίγες φορές (2-3 μέρες την εβδομάδα),Σπάνια (1 μέρα  την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),1.9
Γυναίκα,21 - 30,Yes,3,1,500 - 1000,Λεωφορείο,24,12.00 - 15.00,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Λίγες φορές (2-3 μέρες την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),4.2
Άνδρας,31 -40,Yes,4,1,1000 - 1500,Λεωφορείο,25,06.00 - 09.00,Agree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Λίγες φορές (2-3 μέρες την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),Καθημερινά,4.4
Γυναίκα,21 - 30,Yes,3,1,500 - 1000,Πόδια,17,15.00 - 18.00,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Λίγες φορές (2-3 μέρες την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),1.7
Άνδρας,51 - 60,Yes,5,2,500 - 1000,Αμάξι,21,06.00 - 09.00,Totally agree,Neutral,Disagree,Disagree,Disagree,Totally disagree,Disagree,Καθημερινά,Καθόλου,Καθημερινά,12.2
Άνδρας,20 και κάτω,No,4,2,0 - 500,Πόδια,30,06.00 - 09.00,Agree,Neutral,Agree,Disagree,Agree,Agree,Neutral,Λίγες φορές (2-3 μέρες την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),2.3
Άνδρας,31 -40,Yes,4,1,1000 - 1500,Λεωφορείο,20,06.00 - 09.00,Disagree,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Αρκετές φορές (4-5 μέρες την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),3.1
Γυναίκα,41 - 50,Yes,3,1,1000 - 1500,Λεωφορείο,25,06.00 - 09.00,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Λίγες φορές (2-3 μέρες την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),5.4
Γυναίκα,51 - 60,Yes,9,0.3,2000 και άνω,Αμάξι,35,09.00 - 12.00,Disagree,Disagree,Neutral,Disagree,Agree,Totally disagree,Totally disagree,Καθημερινά,Σπάνια (1 μέρα  την εβδομάδα),Καθημερινά,20.6
Άνδρας,41 - 50,Yes,4,2,500 - 1000,Πόδια,10,06.00 - 09.00,Disagree,Totally agree,Totally agree,Totally agree,Neutral,Totally agree,Totally agree,Καθημερινά,Καθόλου,Καθημερινά,1.2
Γυναίκα,31 -40,Yes,3,0,0 - 500,Λεωφορείο,20,09.00 - 12.00,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Neutral,Neutral,Totally disagree,Καθημερινά,Καθημερινά,Σπάνια (1 μέρα  την εβδομάδα),2.5
Γυναίκα,21 - 30,Yes,4,2,0 - 500,Λεωφορείο,14,09.00 - 12.00,Disagree,Agree,Disagree,Agree,Totally agree,Disagree,Totally disagree,Αρκετές φορές (4-5 μέρες την εβδομάδα),Καθημερινά,Καθημερινά,1.7
Γυναίκα,41 - 50,Yes,3,1,1000 - 1500,Λεωφορείο,35,06.00 - 09.00,Disagree,Neutral,Agree,Totally disagree,Agree,Disagree,Neutral,Αρκετές φορές (4-5 μέρες την εβδομάδα),Καθημερινά,Καθημερινά,10.6
Άνδρας,21 - 30,Yes,6,3,0 - 500,Λεωφορείο,60,06.00 - 09.00,Disagree,Agree,Disagree,Disagree,Totally disagree,Agree,Totally agree,Σπάνια (1 μέρα  την εβδομάδα),Καθημερινά,Καθημερινά,33.4
Γυναίκα,51 - 60,Yes,2,0,500 - 1000,Πόδια,5,06.00 - 09.00,Totally agree,Totally disagree,Totally agree,Totally disagree,Totally agree,Totally agree,Totally disagree,Καθόλου,Λίγες φορές (2-3 μέρες την εβδομάδα),Καθημερινά,1
Άνδρας,51 - 60,Yes,4,2,1500 - 2000,Αμάξι,20,06.00 - 09.00,Agree,Agree,Agree,Neutral,Neutral,Totally agree,Agree,Καθημερινά,Σπάνια (1 μέρα  την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),6.4
Άνδρας,41 - 50,Yes,4,1,500 - 1000,Πόδια,9,06.00 - 09.00,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Agree,Καθημερινά,Σπάνια (1 μέρα  την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),0.8
Άνδρας,20 και κάτω,No,8,4,2000 και άνω,Πόδια,15,12.00 - 15.00,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Totally disagree,Λίγες φορές (2-3 μέρες την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),Καθημερινά,2.1
Άνδρας,41 - 50,Yes,3,2,1000 - 1500,Αμάξι,10,09.00 - 12.00,Agree,Totally agree,Totally agree,Agree,Totally agree,Agree,Totally agree,Καθημερινά,Καθόλου,Καθημερινά,3.4
Γυναίκα,21 - 30,Yes,4,1,0 - 500,Λεωφορείο,35,09.00 - 12.00,Neutral,Neutral,Neutral,Totally agree,Neutral,Neutral,Neutral,Λίγες φορές (2-3 μέρες την εβδομάδα),Καθημερινά,Καθημερινά,8.3
Άνδρας,41 - 50,Yes,5,1,1000 - 1500,Πόδια,15,09.00 - 12.00,Totally agree,Totally agree,Totally agree,Neutral,Neutral,Totally agree,Totally agree,Λίγες φορές (2-3 μέρες την εβδομάδα),Καθόλου,Καθημερινά,2.4
Γυναίκα,41 - 50,Yes,5,2,0 - 500,Αμάξι,10,09.00 - 12.00,Agree,Agree,Agree,Agree,Agree,Agree,Totally agree,Καθημερινά,Καθόλου,Καθημερινά,4
Άνδρας,21 - 30,Yes,4,4,500 - 1000,Αμάξι,20,06.00 - 09.00,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Καθημερινά,Καθόλου,Λίγες φορές (2-3 μέρες την εβδομάδα),11.9
Γυναίκα,21 - 30,No,4,2,500 - 1000,Αμάξι,22,15.00 - 18.00,Totally agree,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Αρκετές φορές (4-5 μέρες την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),Καθόλου,22.7
Άνδρας,21 - 30,Yes,5,3,500 - 1000,Λεωφορείο,30,12.00 - 15.00,Neutral,Agree,Agree,Neutral,Neutral,Totally agree,Totally agree,Λίγες φορές (2-3 μέρες την εβδομάδα),Καθημερινά,Καθημερινά,6.9
Γυναίκα,51 - 60,No,1,1,500 - 1000,Αμάξι,22,06.00 - 09.00,Totally disagree,Totally disagree,Neutral,Neutral,Agree,Neutral,Neutral,Καθημερινά,Σπάνια (1 μέρα  την εβδομάδα),Σπάνια (1 μέρα  την εβδομάδα),20.8
Γυναίκα,41 - 50,Yes,4,2,2000 και άνω,Αμάξι,13,06.00 - 09.00,Totally agree,Agree,Totally agree,Agree,Neutral,Totally agree,Totally agree,Καθημερινά,Σπάνια (1 μέρα  την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),5.8
Γυναίκα,31 -40,Yes,3,2,500 - 1000,Αμάξι,10,06.00 - 09.00,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Disagree,Totally disagree,Καθημερινά,Καθόλου,Λίγες φορές (2-3 μέρες την εβδομάδα),2.9
Γυναίκα,21 - 30,Yes,3,1,500 - 1000,Πόδια,30,06.00 - 09.00,Neutral,Agree,Neutral,Disagree,Agree,Agree,Neutral,Λίγες φορές (2-3 μέρες την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),2.4
Άνδρας,21 - 30,Yes,2,1,1000 - 1500,Λεωφορείο,21,09.00 - 12.00,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Λίγες φορές (2-3 μέρες την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),2.7
Άνδρας,21 - 30,No,2,0,500 - 1000,Λεωφορείο,24,09.00 - 12.00,Totally disagree,Agree,Totally agree,Neutral,Totally agree,Agree,Neutral,Καθόλου,Αρκετές φορές (4-5 μέρες την εβδομάδα),Σπάνια (1 μέρα  την εβδομάδα),3.5
Γυναίκα,51 - 60,Yes,2,1,1500 - 2000,Αμάξι,25,06.00 - 09.00,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Καθημερινά,Καθόλου,Σπάνια (1 μέρα  την εβδομάδα),12.2
Γυναίκα,41 - 50,Yes,4,2,1000 - 1500,Αμάξι,35,09.00 - 12.00,Totally disagree,Totally disagree,Disagree,Totally disagree,Neutral,Neutral,Totally disagree,Καθημερινά,Σπάνια (1 μέρα  την εβδομάδα),Καθημερινά,18.8
Γυναίκα,21 - 30,No,5,2,0 - 500,Λεωφορείο,10,18.00 - 21.00,Totally agree,Totally agree,Totally agree,Neutral,Neutral,Totally agree,Totally agree,Αρκετές φορές (4-5 μέρες την εβδομάδα),Καθημερινά,Καθημερινά,1.2
Γυναίκα,21 - 30,Yes,5,1,500 - 1000,Πόδια,15,12.00 - 15.00,Agree,Totally agree,Totally agree,Totally agree,Totally agree,Neutral,Neutral,Λίγες φορές (2-3 μέρες την εβδομάδα),Λίγες φορές (2-3 μέρες την εβδομάδα),Καθημερινά,1.3
Γυναίκα,41 - 50,Yes,4,2,1500 - 2000,Αμάξι,13,06.00 - 09.00,Totally agree,Totally disagree,Totally agree,Agree,Totally disagree,Totally disagree,Totally agree,Καθημερινά,Καθόλου,Λίγες φορές (2-3 μέρες την εβδομάδα),5.2
Γυναίκα,31 -40,Yes,4,2,500 - 1000,Αμάξι,25,06.00 - 09.00,Totally disagree,Totally agree,Totally agree,Totally disagree,Totally disagree,Totally agree,Totally agree,Καθημερινά,Καθόλου,Καθημερινά,8.3
Γυναίκα,20 και κάτω,Yes,4,2,0 - 500,Πόδια,10,12.00 - 15.00,Disagree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Καθημερινά,Λίγες φορές (2-3 μέρες την εβδομάδα),Καθημερινά,0.9
Γυναίκα,21 - 30,No,3,1,1000 - 1500,Αμάξι,13,12.00 - 15.00,Totally agree,Neutral,Totally agree,Neutral,Neutral,Totally agree,Neutral,Καθημερινά,Σπάνια (1 μέρα  την εβδομάδα),Καθημερινά,8.2
Άνδρας,21 - 30,Yes,3,1,1000 - 1500,Αμάξι,20,06.00 - 09.00,Agree,Agree,Agree,Agree,Neutral,Neutral,Totally agree,Καθημερινά,Καθόλου,Καθόλου,10.8
Γυναίκα,31 -40,Yes,3,1,500 - 1000,Αμάξι,38,06.00 - 09.00,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Καθημερινά,Καθόλου,Σπάνια (1 μέρα  την εβδομάδα),29.5
Γυναίκα,31 -40,Yes,4,5,500 - 1000,Αμάξι,18,06.00 - 09.00,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Neutral,Totally disagree,Καθημερινά,Καθόλου,Σπάνια (1 μέρα  την εβδομάδα),5.6
Άνδρας,21 - 30,No,4,1,500 - 1000,Πόδια,12,15.00 - 18.00,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Καθόλου,Λίγες φορές (2-3 μέρες την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),0.9
Γυναίκα,21 - 30,Yes,4,1,500 - 1000,Πόδια,10,15.00 - 18.00,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Λίγες φορές (2-3 μέρες την εβδομάδα),Σπάνια (1 μέρα  την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),0.75
Γυναίκα,20 και κάτω,No,6,2,500 - 1000,Αμάξι,35,06.00 - 09.00,Disagree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Καθημερινά,Λίγες φορές (2-3 μέρες την εβδομάδα),Καθημερινά,31.6
Άνδρας,31 -40,Yes,5,2,1000 - 1500,Αμάξι,26,06.00 - 09.00,Agree,Agree,Totally agree,Agree,Agree,Agree,Agree,Αρκετές φορές (4-5 μέρες την εβδομάδα),Καθόλου,Σπάνια (1 μέρα  την εβδομάδα),22.6
Άνδρας,21 - 30,Yes,2,0,500 - 1000,Λεωφορείο,58,09.00 - 12.00,Agree,Totally agree,Agree,Totally disagree,Disagree,Totally agree,Agree,Καθόλου,Καθημερινά,Καθημερινά,14.1
Άνδρας,21 - 30,Yes,5,1,500 - 1000,Λεωφορείο,33,06.00 - 09.00,Agree,Neutral,Neutral,Totally disagree,Totally disagree,Neutral,Neutral,Αρκετές φορές (4-5 μέρες την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),Καθημερινά,7
Γυναίκα,41 - 50,Yes,4,2,500 - 1000,Αμάξι,16,06.00 - 09.00,Totally agree,Agree,Agree,Disagree,Disagree,Agree,Totally agree,Καθημερινά,Καθόλου,Καθόλου,7.9
Άνδρας,21 - 30,No,2,1,500 - 1000,Πόδια,20,12.00 - 15.00,Agree,Neutral,Disagree,Disagree,Agree,Agree,Disagree,Σπάνια (1 μέρα  την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),1.7
Γυναίκα,21 - 30,No,4,1,500 - 1000,Πόδια,32,06.00 - 09.00,Totally agree,Totally agree,Neutral,Disagree,Agree,Totally agree,Neutral,Σπάνια (1 μέρα  την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),Αρκετές φορές (4-5 μέρες την εβδομάδα),3
Άνδρας,41 - 50,Yes,6,7,0 - 500,Αμάξι,40,03.00 - 06.00,Neutral,Totally disagree,Totally disagree,Neutral,Neutral,Neutral,Neutral,Καθημερινά,Καθόλου,Λίγες φορές (2-3 μέρες την εβδομάδα),31.5
Άνδρας,31 -40,Yes,2,1,1000 - 1500,Πόδια,2,12.00 - 15.00,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Σπάνια (1 μέρα  την εβδομάδα),Καθόλου,Καθημερινά,0.6
Άνδρας,21 - 30,Yes,1,1,500 - 1000,Πόδια,3,09.00 - 12.00,Agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally disagree,Καθόλου,Καθόλου,Καθημερινά,0.65
Γυναίκα,31 -40,No,2,1,500 - 1000,Πόδια,14,09.00 - 12.00,Neutral,Agree,Totally agree,Agree,Agree,Totally agree,Totally agree,Λίγες φορές (2-3 μέρες την εβδομάδα),Σπάνια (1 μέρα  την εβδομάδα),Καθημερινά,1.1
Γυναίκα,41 - 50,Yes,3,2,1000 - 1500,Πόδια,9,09.00 - 12.00,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Σπάνια (1 μέρα  την εβδομάδα),Καθόλου,Καθημερινά,0.6
